ENSGene	GRCh38	GRCh37
ENSG00000109944	JHY	C11orf63
ENSG00000267484	AC027319.1	CTC-518P12.6
ENSG00000221990	EXOC3-AS1	C5orf55
ENSG00000188242	PP7080	CTD-2228K2.5
ENSG00000244251	AC013356.1	RP11-64K12.1
ENSG00000224762	CR769776.1	CR769776.3
ENSG00000250080	AC011416.1	CTB-88F18.2
ENSG00000253911	AP003467.1	KB-1205A7.2
ENSG00000253468	AP003355.1	KB-1517D11.2
ENSG00000273047	AL121845.2	RP4-583P15.14
ENSG00000257296	AC093027.1	RP11-701B6.1
ENSG00000232886	AF212831.1	AF212831.2
ENSG00000266489	AC007922.3	RP11-178F10.3
ENSG00000233287	AC009362.1	AC009362.2
ENSG00000249990	MTCO2P24	RP11-474J18.2
ENSG00000271328	B3GNTL1P2	RP11-157D6.1
ENSG00000261292	AC110491.1	RP11-389G6.3
ENSG00000250331	LINC01340	RP11-1E3.1
ENSG00000250125	LINC02232	RP11-707A18.1
ENSG00000244669	AC104689.1	RP11-158O16.1
ENSG00000248328	MTCO3P28	RP11-63H19.6
ENSG00000253196	AC083841.1	RP11-706C16.7
ENSG00000271626	AC104763.2	RP11-3K24.2
ENSG00000230533	AL357060.1	RP11-95M15.1
ENSG00000229996	AC093585.1	AC093585.6
ENSG00000267248	AC025048.2	CTD-2319I12.4
ENSG00000250337	PURPL	LINC01021
ENSG00000226803	AL136311.1	RP11-203B9.4
ENSG00000257715	AC007298.1	RP11-256L6.2
ENSG00000227306	AP006285.1	AP006285.6
ENSG00000258957	AL359317.2	RP11-363J20.1
ENSG00000225360	AL772155.2	RP11-149F8.4
ENSG00000253140	AC026904.2	RP11-567J20.3
ENSG00000268049	AC012313.2	CTD-2619J13.9
ENSG00000261460	AC009690.2	RP11-106M3.3
ENSG00000228674	PPIAP59	CTB-147C22.3
ENSG00000228763	LIMS1-AS1	AC010095.5
ENSG00000249761	AC074133.1	CTD-2278B20.1
ENSG00000254502	AP003097.1	FNTAL1
ENSG00000213630	BOLA3P3	RP11-772E11.1
ENSG00000250318	AC003072.1	CTA-963H5.5
ENSG00000257431	AC089998.1	RP11-263K4.3
ENSG00000234423	LINC01250	AC019118.2
ENSG00000225087	AL583808.1	RP4-660H19.1
ENSG00000271314	AL161729.2	RP11-435O5.6
ENSG00000227364	AC018685.1	AC018685.2
ENSG00000267028	TCF4-AS1	RP11-619L19.1
ENSG00000179997	AC010894.1	AC010894.4
ENSG00000227078	LINC02094	AC004448.2
ENSG00000231477	AC004448.3	CTB-187M2.1
ENSG00000259753	AC068234.1	ITGB3
ENSG00000259442	AC105339.2	RP11-752G15.8
ENSG00000225055	AL606490.1	RP11-344N17.9
ENSG00000256100	AP000721.1	AP000721.4
ENSG00000256341	AP006333.1	RP11-21A7A.3
ENSG00000254267	AP003438.1	KB-1458E12.1
ENSG00000254993	TRIM77BP	RP11-107P7.5
ENSG00000250887	AC106872.10	RP11-366M4.13
ENSG00000236164	AL161618.1	RP11-268F1.3
ENSG00000245571	FAM111A-DT	AP001258.4
ENSG00000256560	LINC01486	RP11-256L11.1
ENSG00000226987	AL157938.1	RP11-544A12.5
ENSG00000264150	AP005136.1	RP11-715F3.1
ENSG00000268231	AC008743.1	CTD-2560K21.6
ENSG00000250597	AC093689.1	RP11-725M22.1
ENSG00000253370	AC027308.1	CTB-56J15.1
ENSG00000271810	AL603832.3	RP11-426L16.10
ENSG00000239983	AC016687.1	RP11-79E3.1
ENSG00000228005	AC020743.1	AC020743.2
ENSG00000253333	AC146944.3	RP11-497H16.8
ENSG00000250687	AC146944.2	RP11-497H16.7
ENSG00000236389	AL121970.1	RP1-287H17.1
ENSG00000248779	AC093297.1	RP11-53O19.2
ENSG00000251629	LINC02241	RP11-774D14.1
ENSG00000266149	AP001094.3	RP11-789C17.3
ENSG00000250116	AC018682.1	RP11-417F21.1
ENSG00000251434	AC104071.1	RP11-315A17.1
ENSG00000250020	AC113430.1	RP11-811I15.1
ENSG00000232310	AL078590.3	RP11-557H15.4
ENSG00000227723	AL596188.1	CTA-31J9.2
ENSG00000236986	AL157938.2	RP11-544A12.4
ENSG00000254867	AP006287.1	RP11-1167A19.6
ENSG00000231995	AL590399.4	RP11-111F5.2
ENSG00000232783	FRG2FP	AC073135.3
ENSG00000262006	AC005920.4	RP11-700H6.4
ENSG00000273368	AC006566.1	RP11-376P6.3
ENSG00000218305	CDC14C	AC006024.4
ENSG00000226889	AL359541.1	RP11-474I16.8
ENSG00000270378	AC020891.4	RP11-108K3.5
ENSG00000228173	AC091770.1	AC091770.3
ENSG00000226324	AL358453.1	RP11-115M14.1
ENSG00000255115	AP002812.4	RP11-91P24.3
ENSG00000227399	AL391219.1	RP11-118F2.2
ENSG00000271123	ELOCP5	TCEB1P5
ENSG00000269476	AC010326.2	CTD-2583A14.9
ENSG00000260891	AC020978.4	RP11-96D1.5
ENSG00000261864	AC130462.1	RP11-67A1.2
ENSG00000231527	CR769775.1	RP11-374M1.2
ENSG00000241473	AC108734.2	RP11-259P15.3
ENSG00000231971	AL078590.2	RP11-557H15.3
ENSG00000255522	SNRPCP5	RP13-726E6.3
ENSG00000236858	AL008638.2	CTA-992D9.6
ENSG00000238032	AC245047.7	RP11-38O23.7
ENSG00000231405	AL008638.1	CTA-992D9.7
ENSG00000238195	AL021153.1	CTA-503F6.2
ENSG00000226211	AL445466.1	RP11-453O22.1
ENSG00000234754	C1orf140	RP11-421L10.1
ENSG00000267656	AP001357.2	RP11-807E13.3
ENSG00000231510	AL691497.1	RP11-542C10.1
ENSG00000232436	AL360013.2	RP11-103C3.1
ENSG00000227585	AL360013.1	RP11-103C3.2
ENSG00000267032	AP001357.1	RP11-807E13.2
ENSG00000253550	AC016065.2	RP11-115C21.4
ENSG00000267286	AP001198.2	RP11-794M8.2
ENSG00000271743	AF287957.1	CTD-2541M15.3
ENSG00000224375	AC009276.1	AC009276.4
ENSG00000237161	AC068446.1	RP11-32B5.1
ENSG00000267677	AC016229.2	RP11-27G24.1
ENSG00000236989	AC130710.1	AC142119.1
ENSG00000229662	AC245047.2	RP11-552E4.5
ENSG00000226764	AC010145.1	AC010145.4
ENSG00000241207	AC245047.8	RP11-344N17.3
ENSG00000236289	GACAT3	AC130710.1
ENSG00000224087	AC018865.1	AC018804.3
ENSG00000228471	AC018865.2	AC018865.11
ENSG00000264080	AP005057.1	CTD-2015H3.1
ENSG00000266602	AC008109.1	RP11-476K15.1
ENSG00000258674	AC011448.1	CTC-260F20.3
ENSG00000230370	RPL23AP52	AC005007.3
ENSG00000227925	LINC01655	RP11-191N8.2
ENSG00000266450	AC019183.1	CTD-2015H3.2
ENSG00000238042	LINC02257	RP11-815M8.1
ENSG00000204368	AC245047.1	RP11-552E4.3
ENSG00000228437	LINC02474	RP11-400N13.2
ENSG00000237345	AC245047.6	RP11-344N17.11
ENSG00000225981	AC102953.1	AC102953.4
ENSG00000232813	AC245047.4	RP11-344N17.2
ENSG00000234780	AC245047.5	RP11-552E4.2
ENSG00000231568	AC245047.3	RP11-552E4.4
ENSG00000225513	AL158824.1	RP11-165N19.2
ENSG00000251132	AC094104.2	RP11-438C19.2
ENSG00000250242	AC094104.1	RP11-438C19.1
ENSG00000248693	LINC02100	CTD-2023M8.1
ENSG00000249927	AC025768.1	CTD-2151L9.2
ENSG00000236978	AC073873.1	RP11-575M4.1
ENSG00000233521	LINC01638	RP5-1172A22.1
ENSG00000267061	AC090213.1	RP11-760L24.1
ENSG00000233574	AL020994.3	CTA-929C8.5
ENSG00000267000	AC016229.1	RP11-27G24.3
ENSG00000223726	AL020994.1	CTA-929C8.7
ENSG00000267774	AC010776.2	RP11-2N1.2
